Name House_Number District City Income Tax_Paid
Mannes 64 Wawaka Altoona 68933 No
Viguerie 187 Wawaka Altoona 53684 Yes
Eugine 149 McDougal Almyra 50806 Yes
Scribner 195 Closplint Altro 83054 No
Laspisa 189 Sonyea Aleknagik 70526 No
Janaye 64 Wawaka Altoona 62930 Yes
Averill 134 Humptulips Ailey 90848 No
Nanete 200 Hawkinsville Airville 65114 No
Averir 55 Hawkinsville Airville 53783 No
Mayberry 99 Chenoa Allegan 77802 Yes
Lesslie 197 Vandyne Alamota 57219 No
Heddi 78 Pittsburg Alamogordo 80304 No
Katrina 6 McDougal Almyra 96350 No
Dymoke 195 Closplint Altro 51874 Yes
Clayson 64 Wawaka Altoona 52831 Yes
Waugh 144 Martville Airville 55162 No
Collins 193 Catoosa Almyra 52342 No
Biancha 19 Streetsboro Airville 78232 Yes
Kimura 70 Everson Allenhurst 75931 Yes
Jammal 20 Chocorua Aguada 66824 Yes
Calder 193 Catoosa Almyra 54505 No
Berg 133 Everson Allenhurst 97225 Yes
Timmi 17 Quarryville Aleknagik 76016 No
Stulin 87 Gordonville Alderson 64927 No
Weaver 151 Zuni Aleknagik 73834 No
Maryly 32 Lacoochee Abbyville 76151 No
Yoo 113 Delbarton Abbyville 57610 No
Glick 31 McDougal Almyra 64146 No
Reeta 112 Gordonville Alderson 59453 Yes
Vaules 182 Zuni Aleknagik 98162 Yes
Trinia 8 Miramonte Alkol 75260 Yes
Arnie 28 Redway Aleppo 89113 Yes
Farron 23 Zuni Aleknagik 93682 No
Naga 170 Lacoochee Abbyville 80093 No
Atronna 80 Arion Agar 57335 No
Lyudmila 181 Miramonte Alkol 70145 Yes
Chang 177 Molalla Allenhurst 93077 No
Mabelle 49 Everson Allenhurst 65677 No
Alurd 62 Lacoochee Abbyville 64281 Yes
Grissom 178 Pittsburg Alamogordo 98047 Yes
Branham 189 Kingwood Ailey 50023 No
Mitman 179 Mocksville Altamont 78490 No
Botnick 29 Everson Allenhurst 52232 No
Almallah 121 Chocorua Aguada 66411 No
Innis 44 Humptulips Ailey 50453 Yes
Ewold 8 Miramonte Alkol 84042 No
Alysa 80 Arion Agar 94890 Yes
Seavey 105 Howardstown Agar 90685 Yes
Anastasio 181 Miramonte Alkol 80191 No
Lette 60 Hartleton Ailey 76157 Yes
Donelle 31 McDougal Almyra 57944 Yes
Prowel 180 Molalla Allenhurst 98059 No
Remy 41 Daisy Aguada 85926 No
